host_is_superhost,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,room_type_Private room,room_type_Shared room,minimum_nights_log,min_nights_very_low,min_nights_low,min_nights_medium,city_Boroondara,city_Darebin,city_Glen Eira,city_Melbourne,city_Moreland,city_Other,city_Port Phillip,city_Stonnington,city_Whitehorse,city_Yarra,city_Yarra Ranges,accommodates bedrooms,accommodates bathrooms,bedrooms bathrooms,number_of_reviews_log,calculated_host_listings_count_log
-0.63163909964464,-0.6657763615409401,-1.4570765323336297,-1.1662568073582509,-0.5093422887119936,-0.58978814843344,-0.6810256674521981,-0.09356517186937445,0.8590577893163043,-0.13811270602362977,-0.9568604917874762,-0.3479352195588656,True,False,-0.8107560565298157,True,False,False,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,-0.7139129826358983,-0.20971538610660384,2.077447826946374,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,0.6878444430097179,0.5940239114857941,0.3004040453782973,0.6200697944940659,-0.4276113654862073
-0.63163909964464,-1.352055219378411,0.6823075451489284,-1.1662568073582509,-1.4196900087520627,-0.58978814843344,-0.6810256674521981,-0.0527492673724954,-0.5852277180294638,0.6802816803517225,1.045084428276411,-0.4124172774111976,True,False,-0.014287500716651063,True,False,False,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,-0.7139129826358983,-0.20971538610660384,2.077447826946374,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,0.6878444430097179,1.655723137045588,0.8373163416113333,-0.8800256274956196,-0.5317382384693609
-0.63163909964464,1.10225924387683,-0.12101660749789998,0.19154975062465057,-0.5093422887119936,0.5022315325804526,-0.6810256674521981,0.15133025511189985,-0.5615509064336315,0.0957142615121852,-0.9568604917874762,-0.4124172774111976,False,False,1.9123879222081661,False,False,True,-0.15963326475270811,5.51439358274016,-0.15311845504569707,-0.7139129826358983,-0.20971538610660384,-0.48135986234123296,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,0.09620232482162176,-0.09756438838537115,-0.2558077582678599,-0.8245115661180872,-0.5317382384693609
1.5831825492794855,0.1968897699588814,-0.3627526114325198,0.19154975062465057,-0.5093422887119936,-0.58978814843344,-0.02923019865876211,-0.0527492673724954,-0.5378740948377992,0.6802816803517225,-0.9568604917874762,1.0061879953401072,False,False,-0.014287500716651063,True,False,False,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,1.400730935453528,-0.20971538610660384,-0.48135986234123296,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,-0.11297377275379981,-0.09756438838537115,0.3004040453782973,-0.7719179030316666,0.6962364016691172
-0.63163909964464,2.2894203206475296,-0.8456952458895767,-0.7136546213639505,-0.5093422887119936,-0.58978814843344,-0.6810256674521981,-0.09356517186937445,2.918940398153711,-0.37193967355944474,-0.9568604917874762,-0.02552493029720541,True,False,-0.8107560565298157,True,False,False,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,-0.7139129826358983,-0.20971538610660384,2.077447826946374,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,0.42090503775521204,0.36349447819540576,0.3004040453782973,1.365821310669518,-0.025856343016668747
-0.63163909964464,0.34339254651262724,-0.33905743035310465,-1.1662568073582509,-0.5093422887119936,-0.58978814843344,-0.6810256674521981,-0.09356517186937445,-0.44316684845447013,-0.13811270602362977,1.045084428276411,-0.4124172774111976,False,True,-0.8107560565298157,True,False,False,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,1.400730935453528,-0.20971538610660384,-0.48135986234123296,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,0.6878444430097179,0.5940239114857941,0.3004040453782973,-0.5854896323206605,-0.5317382384693609
-0.63163909964464,0.23124942188706937,-0.43505937489047986,1.0967541226132518,-0.5093422887119936,1.5942512135943452,-0.02923019865876211,0.028882541621262692,-0.5378740948377992,0.6802816803517225,1.045084428276411,-0.4124172774111976,False,False,0.9891442094287305,False,False,True,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,1.400730935453528,-0.20971538610660384,-0.48135986234123296,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,1.748501590990778,-0.5586232549661482,-0.8120195619140171,-0.7719179030316666,-0.5317382384693609
-0.63163909964464,0.22326856901927233,-0.34589428034064085,0.19154975062465057,-0.5093422887119936,-0.58978814843344,-0.02923019865876211,-0.09356517186937445,0.26713749942049775,-0.37193967355944474,1.045084428276411,5.326485871446353,False,False,-0.8107560565298157,True,False,False,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,1.400730935453528,-0.20971538610660384,-0.48135986234123296,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,-0.11297377275379981,-0.09756438838537115,0.3004040453782973,0.2367604190659715,1.8447449274108858
-0.63163909964464,1.246089557563794,-0.06587405227624406,-0.7136546213639505,-0.5093422887119936,-0.58978814843344,-0.6810256674521981,-0.09356517186937445,-0.5852277180294638,0.6802816803517225,-0.9568604917874762,-0.4124172774111976,False,False,-0.8107560565298157,True,False,False,-0.15963326475270811,5.51439358274016,-0.15311845504569707,-0.7139129826358983,-0.20971538610660384,-0.48135986234123296,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,-0.32932820874748003,-0.20358692112236107,0.42090503775521204,0.36349447819540576,0.3004040453782973,-0.8800256274956196,-0.5317382384693609
-0.63163909964464,0.13330389403824594,-0.03648543726766186,-0.7136546213639505,-0.5093422887119936,-0.58978814843344,-0.6810256674521981,-0.0527492673724954,-0.49052047164613466,0.6802816803517225,-0.9568604917874762,-0.4124172774111976,False,False,-0.014287500716651063,True,False,False,-0.15963326475270811,-0.18134360288136878,-0.15311845504569707,-0.7139129826358983,-0.20971538610660384,-0.48135986234123296,-0.36583093011046747,-0.279806745713214,-0.15770438327131078,3.036484496130039,-0.20358692112236107,0.42090503775521204,0.36349447819540576,0.3004040453782973,-0.6743656070012413,-0.5317382384693609
